,srch_destination_id,srch_adults_cnt,srch_children_cnt,stay_dur,srch_rm_cnt,prediction
1,8250,2,0,4.0,1,[ 1 24 45 79 54]
20,8291,2,0,2.0,1,[95  9 98 59 91]
27,1385,2,0,8.0,1,[58 63 81 61 85]
72,8803,2,0,2.0,1,[12 36 46 29 62]
79,12009,3,0,5.0,2,[95 42 91 48 47]
81,12009,2,0,5.0,1,[95 42 91 48 47]
83,12009,2,0,3.0,1,[95 42 91 48 18]
128,1571,2,0,1.0,2,[38 81 67 82 20]
133,12861,1,0,1.0,1,[81 82 36 61 78]
137,22494,5,2,1.0,3,[43 35 30 78  8]
158,8785,2,0,1.0,1,[22  8 64 58  5]
268,65035,2,0,1.0,1,[10 91 51 82 17]
276,8746,2,0,1.0,1,[22 99 64  9 25]
306,14039,2,0,1.0,1,[78  8 22 36  5]
331,33393,2,0,1.0,1,[ 8 78 43 22  5]
351,21787,2,0,1.0,1,[15  8 35 43 30]
352,21787,2,0,1.0,1,[15  8 35 43 30]
372,61531,2,2,2.0,1,[91 94 48 42 39]
401,11835,2,0,2.0,1,[54 91 51 10 47]
408,4777,3,0,2.0,1,[42 48 50 47 94]
410,4777,3,0,2.0,1,[42 48 50 47 94]
412,12004,1,0,1.0,1,[32 16 91 42 59]
414,26328,1,0,1.0,1,[ 7 48 81 91 42]
418,26242,4,0,2.0,1,[83  9 41 98 55]
425,8811,4,0,2.0,1,[37 55 83 98 18]
599,8278,2,1,1.0,1,[95 18 68 91 37]
601,8278,3,1,1.0,1,[95 18 68 21 37]
604,8278,2,1,1.0,1,[95 18 68 91 37]
606,8278,3,1,1.0,1,[95 18 68 21 37]
746,11079,2,0,2.0,1,[12 86 81 80 17]
753,21501,2,1,1.0,1,[62 82 30 43 81]
754,8267,2,0,6.0,1,[98 41 56 70 69]
755,8267,2,0,5.0,1,[98 41 56 70 69]
756,8245,2,0,4.0,1,[36 46 58 20 30]
759,12890,2,0,5.0,1,[ 8 30 86 43  5]
763,8213,5,0,3.0,2,[98 37 97  9  2]
764,8213,2,0,3.0,1,[98  9 37 97  2]
768,8813,2,1,1.0,1,[82 78 62 97 67]
774,8250,2,2,2.0,1,[ 1 79 54 45 24]
776,8279,2,2,3.0,1,[83 37 98 91 10]
779,47843,2,0,4.0,1,[58 43 64  2 62]
781,8245,5,1,5.0,3,[46 36 62 61 81]
783,5080,2,0,3.0,1,[61 30 81 86 85]
785,21022,2,0,5.0,1,[85 48  3 81 90]
787,8254,2,1,3.0,1,[98 95 37 41 21]
793,55208,3,0,2.0,2,[36 82 30 67 57]
796,11439,2,2,12.0,1,[65 52 66 87 96]
799,63687,2,0,10.0,1,[90 72 73 25 51]
818,17459,2,0,1.0,1,[46 13 82 59 61]
823,31208,1,0,2.0,1,[11 86 25 30  2]
825,31208,4,0,1.0,3,[11 86 25 30 15]
838,8267,2,0,5.0,1,[98 56 41 70 69]
840,8788,2,0,3.0,1,[37 25 59 64 28]
846,22430,2,0,1.0,1,[62 85 81 82 30]
886,8267,1,0,2.0,1,[98 56 41 70 69]
892,8250,2,0,3.0,1,[ 1 79 45 24 54]
911,8811,2,0,3.0,1,[37 55 91 83 98]
919,8811,2,0,2.0,1,[37 55 91 83 98]
935,8267,2,0,3.0,2,[98 56 41 69 70]
946,8806,1,0,2.0,1,[64 25 62 11 78]
953,8266,1,0,5.0,1,[ 9 95 98 18 68]
958,8241,0,0,2.0,1,[12 36 62 82 15]
991,24648,2,0,1.0,1,[51 32 91 50 42]
998,11938,2,0,5.0,1,[65 52 25 66 31]
1077,8740,2,0,4.0,2,[ 8 22 78  5 43]
1083,12406,1,0,1.0,1,[12 86 81 80 17]
1088,54848,1,0,2.0,1,[61 30 82 20 81]
1114,11334,2,0,7.0,1,[26 33 84 73 65]
1231,8791,2,0,5.0,1,[65 66 52 87  0]
1275,27949,1,0,4.0,1,[65 26 72 96 84]
1282,12471,1,0,1.0,1,[13  8 89  5 59]
1284,8223,1,0,1.0,1,[98 70 41 56 69]
1285,12175,2,1,3.0,1,[28 18 72 91 13]
1301,8273,2,0,4.0,1,[68 72 91 18 19]
1335,13409,4,0,2.0,2,[98 56 41 70 69]
